property_type,sector,built_up_area,agepossession,bedroom,bathroom,study room,servant room,store room,balcony,furnishing_type,luxury_category,floor_category,price_in_cr
flat,Sector 63,804,New Property,1,1,0,0,0,2,Semi-furnished,Low,Mid-rise,0.88
flat,Sohna Road,481,Relatively New,2,2,0,0,0,0,Semi-furnished,Average,Basement/Ground Floor,0.25
flat,Sector 2,1416,Old,2,2,1,0,0,3,Semi-furnished,Medium,Mid-rise,1.18
flat,Sector 71,1084,Moderately Old,2,2,0,0,0,2,Un-furnished,Medium,Mid-rise,0.95
flat,Sector 86,1715,Relatively New,3,4,0,1,0,3,Semi-furnished,Medium,Mid-rise,1.65
flat,Sector 36,654,New Property,2,2,0,0,0,3,Semi-furnished,Low,Low-rise,0.41
flat,Sector 102,1750,Relatively New,3,4,0,1,0,3+,Un-furnished,High,Mid-rise,1.7
house,Sector 13,1426,Old,2,2,1,0,0,3,Semi-furnished,Low,Low-rise,1.5
house,Sector 26,1353,Old,4,4,0,0,1,3,Semi-furnished,Average,Low-rise,4.0
flat,Sector 109,2339,New Property,3,4,0,1,0,3+,Semi-furnished,Medium,High-rise,2.3
house,Sector 4,990,Moderately Old,3,2,0,0,0,1,Semi-furnished,Low,Low-rise,1.1
flat,Sector 84,1561,New Property,3,3,0,0,0,3+,Semi-furnished,Medium,Mid-rise,0.84
flat,Sector 60,2037,Moderately Old,3,4,0,1,0,3+,Un-furnished,High,Mid-rise,2.65
flat,Sector 90,1222,Relatively New,2,2,1,0,0,3,Semi-furnished,High,Mid-rise,0.65
flat,Sector 37D,2100,Relatively New,4,3,0,0,0,3+,Un-furnished,Medium,High-rise,1.55
flat,Sector 89,1600,New Property,3,1,1,0,0,2,Semi-furnished,Medium,Mid-rise,1.28
house,Sector 50,4500,New Property,4,2,0,1,0,1,Un-furnished,Medium,Mid-rise,3.99
flat,Sector 81,1903,Relatively New,3,4,0,1,0,3+,Furnished,High,High-rise,2.4
